Index,Original,Fine-tuned
0,correct,correct
1,wrong,correct
2,wrong,wrong
3,correct,correct
4,wrong,wrong
5,wrong,correct
6,correct,correct
7,wrong,wrong
8,correct,correct
9,wrong,correct
10,correct,correct
11,correct,correct
12,correct,correct
13,wrong,correct
14,correct,correct
15,correct,correct
16,wrong,wrong
17,correct,correct
18,wrong,wrong
19,wrong,correct
20,wrong,correct
21,wrong,correct
22,correct,correct
23,wrong,correct
24,correct,correct
25,wrong,correct
26,wrong,wrong
27,wrong,wrong
28,correct,correct
29,wrong,correct
30,wrong,correct
31,wrong,correct
32,wrong,correct
33,wrong,correct
34,wrong,correct
35,wrong,wrong
36,correct,correct
37,wrong,correct
38,correct,correct
39,wrong,correct
40,correct,correct
41,wrong,wrong
42,correct,correct
43,correct,wrong
44,wrong,wrong
45,wrong,wrong
46,correct,wrong
47,wrong,correct
48,correct,correct
49,correct,wrong
50,wrong,wrong
51,correct,correct
52,wrong,correct
53,correct,wrong
54,wrong,wrong
55,wrong,correct
56,wrong,wrong
57,wrong,correct
58,wrong,correct
59,wrong,correct
60,wrong,wrong
61,correct,correct
62,wrong,correct
63,wrong,correct
64,wrong,correct
65,correct,wrong
66,wrong,correct
67,wrong,wrong
68,wrong,wrong
69,wrong,correct
70,correct,wrong
71,wrong,wrong
72,wrong,correct
73,wrong,wrong
74,wrong,correct
75,correct,correct
76,correct,wrong
77,wrong,wrong
78,wrong,wrong
79,wrong,wrong
80,wrong,wrong
81,wrong,correct
82,correct,correct
83,wrong,correct
84,wrong,wrong
85,wrong,wrong
86,wrong,wrong
87,correct,correct
88,correct,correct
89,correct,correct
90,wrong,wrong
91,correct,wrong
92,correct,correct
93,correct,correct
94,wrong,correct
95,wrong,wrong
96,wrong,wrong
97,wrong,correct
98,wrong,wrong
99,correct,correct
